"start";"end";"label"
0.0;1.7647058823529411;"C"
1.7647058823529411;3.5294117647058822;"Am7"
3.5294117647058822;5.294117647058823;"Dm7"
5.294117647058823;7.0588235294117645;"G7"
7.0588235294117645;8.823529411764707;"C"
8.823529411764707;10.588235294117647;"Am7"
10.588235294117647;12.352941176470587;"Dm7"
12.352941176470587;14.117647058823529;"G7"
14.117647058823529;15.882352941176471;"C"
15.882352941176471;17.647058823529413;"Am7"
17.647058823529413;19.41176470588235;"Dm7"
19.41176470588235;21.176470588235293;"G7"
21.176470588235293;22.941176470588236;"C"
22.941176470588236;24.705882352941174;"Am7"
24.705882352941174;26.470588235294116;"Dm7"
26.470588235294116;28.235294117647058;"G7"
