"start";"end";"label"
0.0;1.8461538461538463;"Dm7"
1.8461538461538463;3.6923076923076925;"Em7"
3.6923076923076925;5.538461538461538;"Fmaj7"
5.538461538461538;7.384615384615385;"Em7"
7.384615384615385;9.230769230769232;"Dm7"
9.230769230769232;11.076923076923077;"C7"
11.076923076923077;12.923076923076923;"Em7"
12.923076923076923;14.76923076923077;"G"
14.76923076923077;16.615384615384617;"G"
16.615384615384617;18.461538461538463;"Dm7"
18.461538461538463;20.30769230769231;"Em7"
20.30769230769231;22.153846153846153;"Fmaj7"
22.153846153846153;24.0;"Em7"
24.0;25.846153846153847;"Dm7"
25.846153846153847;27.692307692307693;"C7"
27.692307692307693;29.53846153846154;"Em7"
29.53846153846154;31.384615384615387;"G"
31.384615384615387;33.23076923076923;"G"
