"start";"end";"label"
0.0;1.5789473684210527;"G"
1.5789473684210527;3.1578947368421053;"D"
3.1578947368421053;4.7368421052631575;"F#"
4.7368421052631575;6.315789473684211;"Em7"
6.315789473684211;7.894736842105264;"D"
7.894736842105264;9.473684210526315;"C"
9.473684210526315;11.052631578947368;"Bm7"
11.052631578947368;12.631578947368421;"Am7"
12.631578947368421;14.210526315789474;"D"
14.210526315789474;15.789473684210527;"G"
15.789473684210527;17.36842105263158;"D"
17.36842105263158;18.94736842105263;"F#"
18.94736842105263;20.526315789473685;"Em7"
20.526315789473685;22.105263157894736;"D"
22.105263157894736;23.68421052631579;"C"
23.68421052631579;25.263157894736842;"Bm7"
25.263157894736842;26.842105263157894;"Am7"
26.842105263157894;28.42105263157895;"D"
